Session Information:,,,,Device Information:

Name:,2000M,,,Name:,Tom Oarlock
Start Time:,07/07/16 08:03am,,,Model:,SpeedCoach GPS Pro
Type:,Interval,,,Serial:,2145957
System of Units:,Meters/Split500,,,Firmware Version:,2.08.11
Speed Input:,GPS,,,Profile Version:,0.02
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.26

Session Summary:

Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:07:33.5,2001.0,00:01:53.3,4.41,27.5,---,207

Summary for Session Intervals:

Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:07:33.5,2001.0,00:01:53.3,4.41,27.5,---,207

Session Detail Data:

Interval,Elapsed Time,GPS Distance,GPS Split,GPS Speed,Stroke Rate,Heart Rate,Stroke Count
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:00:01.1,5.5,00:01:57.3,4.26,32,---,1
1,00:00:03.1,14.4,00:01:53.1,4.42,27,---,2
1,00:00:05.5,25.2,00:01:51.1,4.50,27,---,3
1,00:00:07.8,33.9,00:01:52.6,4.44,25,---,4
1,00:00:10.1,45.5,00:01:54.1,4.38,24.5,---,5
1,00:00:12.8,56.9,00:01:55.2,4.34,23.5,---,6
1,00:00:15.1,67.7,00:01:54.1,4.38,24.5,---,7
1,00:00:17.5,78.5,00:01:52.8,4.43,25,---,8
1,00:00:19.9,88.2,00:01:53.3,4.41,24.5,---,9
1,00:00:22.8,100.7,00:01:55.4,4.33,24.5,---,10
1,00:00:24.9,111.3,00:01:56.0,4.31,24,---,11
1,00:00:27.3,121.9,00:01:54.4,4.37,25,---,12
1,00:00:29.7,132.4,00:01:53.1,4.42,23.5,---,13
1,00:00:32.3,144.0,00:01:53.3,4.41,24.5,---,14
1,00:00:34.8,153.6,00:01:54.9,4.35,25,---,15
1,00:00:37.1,165.2,00:01:55.2,4.34,25,---,16
1,00:00:39.6,175.7,00:01:55.2,4.34,24.5,---,17
1,00:00:41.9,186.1,00:01:54.4,4.37,24.5,---,18
1,00:00:44.5,197.4,00:01:54.1,4.38,24.5,---,19
1,00:00:46.9,207.0,00:01:54.6,4.36,25,---,20
1,00:00:49.3,218.4,00:01:55.7,4.32,24.5,---,21
1,00:00:51.8,228.9,00:01:56.0,4.31,25,---,22
1,00:00:54.1,239.4,00:01:54.6,4.36,24.5,---,23
1,00:00:56.5,249.8,00:01:54.6,4.36,24.5,---,24
1,00:00:58.9,259.3,00:01:55.2,4.34,25,---,25
1,00:01:01.3,270.6,00:01:56.8,4.28,24.5,---,26
1,00:01:03.9,281.9,00:01:56.8,4.28,24.5,---,27
1,00:01:06.3,292.3,00:01:55.4,4.33,24.5,---,28
1,00:01:08.9,303.7,00:01:54.4,4.37,24.5,---,29
1,00:01:11.4,314.2,00:01:53.8,4.39,25,---,30
1,00:01:13.8,323.7,00:01:56.0,4.31,24.5,---,31
1,00:01:16.1,335.2,00:01:56.5,4.29,24.5,---,32
1,00:01:18.6,345.6,00:01:55.4,4.33,24.5,---,33
1,00:01:21.1,356.9,00:01:54.4,4.37,24.5,---,34
1,00:01:23.5,367.4,00:01:54.4,4.37,24.5,---,35
1,00:01:25.8,376.0,00:01:55.4,4.33,24.5,---,36
1,00:01:28.3,388.4,00:01:56.8,4.28,24.5,---,37
1,00:01:30.8,398.7,00:01:57.0,4.27,25,---,38
1,00:01:33.1,409.0,00:01:55.4,4.33,26,---,39
1,00:01:35.5,419.3,00:01:55.2,4.34,25,---,40
1,00:01:37.8,427.8,00:01:56.8,4.28,25,---,41
1,00:01:40.3,439.9,00:01:58.4,4.22,24.5,---,42
1,00:01:42.5,449.3,00:01:58.7,4.21,25,---,43
1,00:01:44.9,459.5,00:01:57.0,4.27,25,---,44
1,00:01:47.5,470.6,00:01:56.5,4.29,25,---,45
1,00:01:49.8,479.0,00:01:57.9,4.24,25,---,46
1,00:01:52.1,490.2,00:01:58.4,4.22,25,---,47
1,00:01:54.5,500.4,00:01:58.4,4.22,25,---,48
1,00:01:56.9,510.9,00:01:56.2,4.30,26,---,49
