Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,4(2x5:00/2:00),,,Name:,Tom Oarlock,,,Firmware:,---,,,Boat ID:,---
Start Time:,02/12/17 08:33am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Interval,,,Serial:,2145957,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.12,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.27


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
8,10502.8,0.0,00:40:00.0,00:01:54.4,4.37,00:00:00.0,0.00,26,1043,10,0,84,---,---,---,---,---,---,---,---,---,30.2837,-97.7842


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1363.6,0.0,00:05:00.0,00:01:50.1,4.54,00:00:00.0,0.00,28,141,10,0,153,---,---,---,---,---,---,---,---,---,30.2837,-97.7842
2,1274.0,0.0,00:05:00.0,00:01:57.9,4.24,00:00:00.0,0.00,24,121,11,0,164,---,---,---,---,---,---,---,---,---,30.2756,-97.7737
3,1360.4,0.0,00:05:00.0,00:01:50.3,4.53,00:00:00.0,0.00,28,140,10,0,167,---,---,---,---,---,---,---,---,---,30.2833,-97.7839
4,1267.5,0.0,00:05:00.0,00:01:58.4,4.22,00:00:00.0,0.00,24,121,10,0,167,---,---,---,---,---,---,---,---,---,30.2754,-97.7736
5,1329.8,0.0,00:05:00.0,00:01:52.8,4.43,00:00:00.0,0.00,28,140,9,0,168,---,---,---,---,---,---,---,---,---,30.2835,-97.7835
6,1265.6,0.0,00:05:00.0,00:01:58.7,4.21,00:00:00.0,0.00,24,120,11,0,166,---,---,---,---,---,---,---,---,---,30.2756,-97.7735
7,1339.8,0.0,00:05:00.0,00:01:52.1,4.46,00:00:00.0,0.00,28,140,10,0,166,---,---,---,---,---,---,---,---,---,30.2834,-97.7837
8,1302.0,0.0,00:05:00.0,00:01:55.4,4.33,00:00:00.0,0.00,24,120,11,0,169,---,---,---,---,---,---,---,---,---,30.2754,-97.7732



Per-Stroke Data:

