Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,5x200M/5:00,,,Name:,Tom Oarlock,,,Firmware:,---,,,Boat ID:,---
Start Time:,02/24/17 10:27am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Interval,,,Serial:,2145957,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.12,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.27


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
5,1002.3,0.0,00:03:41.8,00:01:50.8,4.51,00:00:00.0,0.00,38,136,7,0,56,4307,-65,4,38,11,3864,7005,6619,-13,30.2469,-97.7253


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,200.6,0.0,00:00:45.7,00:01:54.1,4.38,00:00:00.0,0.00,36,26,8,0,128,396,-66,5,41,11,373,717,675,-9,30.2469,-97.7253
2,200.5,0.0,00:00:44.4,00:01:50.8,4.51,00:00:00.0,0.00,38,27,7,0,134,424,-65,5,39,11,384,694,657,-11,30.2468,-97.7256
3,200.1,0.0,00:00:43.8,00:01:49.6,4.56,00:00:00.0,0.00,41,28,7,0,115,442,-65,5,37,10,388,694,660,-14,30.2466,-97.7251
4,200.4,0.0,00:00:43.3,00:01:48.2,4.62,00:00:00.0,0.00,42,29,7,0,133,456,-66,4,35,10,398,695,655,-16,30.2467,-97.7252
5,200.7,0.0,00:00:44.6,00:01:51.3,4.49,00:00:00.0,0.00,36,26,8,0,139,---,---,---,---,---,---,---,---,---,30.2467,-97.7252



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.8,0.0,00:00:00.6,00:05:44.8,1.45,00:00:00.0,0.00,96,1,1.79,0.00,87,103,-39,3,42,8,275,622,747,3,30.2469,-97.7253
1,---,---,---,---,---,---,---,---,1,---,---,---,423,-60,2,40,9,452,753,664,-12,---,---
1,8.2,0.0,00:00:02.6,00:02:51.8,2.91,00:00:00.0,0.00,34,2,6.40,0.00,87,464,-63,4,40,8,430,762,683,-9,30.2469,-97.7254
1,14.6,0.0,00:00:04.2,00:02:26.1,3.42,00:00:00.0,0.00,36,3,6.44,0.00,89,466,-67,5,36,10,427,736,698,-13,30.2469,-97.7254
1,21.7,0.0,00:00:05.8,00:02:04.0,4.03,00:00:00.0,0.00,38,4,7.03,0.00,89,425,-68,6,36,12,373,694,665,-19,30.2469,-97.7255
1,28.9,0.0,00:00:07.4,00:01:54.6,4.36,00:00:00.0,0.00,36,5,7.29,0.00,93,471,-69,6,40,12,413,744,692,-13,30.247,-97.7256
1,36.5,0.0,00:00:09.0,00:01:51.1,4.50,00:00:00.0,0.00,36,6,7.58,0.00,100,394,-69,6,39,12,349,670,630,-10,30.247,-97.7256
